Reason Code,Reason Description,Asset Impact,Traffic,Due Date,Priority
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Medium,Low,3,Moderate
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,High,Medium,-3,Critical
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,Medium,High,-3,Critical
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Medium,Low,11,Normal
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,High,9,Moderate
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,Medium,14,Moderate
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Medium,High,3,Urgent
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Medium,-4,Critical
ETMR,Track geometry deviation beyond permissible limits found during inspection; urgent repair needed.,High,Low,2,Urgent
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,High,High,-3,Critical
TREP,Electrical switchgear fault reported affecting power reliability; urgent repair recommended.,High,Medium,2,Critical
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,High,High,-3,Critical
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,High,High,-1,Critical
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,Medium,High,0,Critical
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,Medium,3,Urgent
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Low,6,Normal
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,High,10,Moderate
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,High,7,Urgent
SREP,Signalling equipment check completed under the regular maintenance cycle.,Medium,Low,10,Normal
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Medium,12,Normal
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Low,9,Normal
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,Medium,10,Normal
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,Medium,-1,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Low,6,Normal
SSIG,Signal relay showing erratic behaviour affecting reliability; urgent maintenance recommended.,Medium,Medium,1,Urgent
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,High,5,Urgent
OTHR,Standard general maintenance check completed with no issues found.,Medium,Low,10,Normal
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Medium,-2,Critical
TPWR,Routine traction power system inspection as per maintenance calendar.,Medium,Low,8,Moderate
ETMW,"Scheduled track machine servicing due; minor calibration drift observed, can be addressed in the coming days.",Medium,Medium,5,Urgent
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,Medium,-4,Critical
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,High,Low,-2,Critical
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Low,Low,2,Moderate
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Medium,Medium,3,Urgent
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Low,High,1,Urgent
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,Medium,High,-4,Critical
TOHE,OHE component showing significant wear affecting current collection; urgent maintenance recommended.,High,Medium,1,Critical
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,Medium,Low,0,Urgent
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Medium,Medium,4,Urgent
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,Low,8,Moderate
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,High,5,Urgent
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,Low,9,Normal
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,High,High,-4,Critical
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,12,Normal
