asset_impact,reason_severity,traffic,due_date_bucket,asset_impact_score,severity_score,traffic_score,due_date_score,priority_score,priority_class
High,Critical,High,Overdue or Today,30,25,25,20,100,Critical
High,Critical,High,1-2 days,30,25,25,17,97,Critical
High,Critical,High,3-7 days,30,25,25,13,93,Critical
High,Critical,High,8-14 days,30,25,25,9,89,Critical
High,Critical,High,More than 14 days,30,25,25,5,85,Critical
High,Critical,Medium,Overdue or Today,30,25,15,20,90,Critical
High,Critical,Medium,1-2 days,30,25,15,17,87,Critical
High,Critical,Medium,3-7 days,30,25,15,13,83,Critical
High,Critical,Medium,8-14 days,30,25,15,9,79,Urgent
High,Critical,Medium,More than 14 days,30,25,15,5,75,Urgent
High,Critical,Low,Overdue or Today,30,25,5,20,80,Critical
High,Critical,Low,1-2 days,30,25,5,17,77,Urgent
High,Critical,Low,3-7 days,30,25,5,13,73,Urgent
High,Critical,Low,8-14 days,30,25,5,9,69,Urgent
High,Critical,Low,More than 14 days,30,25,5,5,65,Urgent
High,Major,High,Overdue or Today,30,18,25,20,93,Critical
High,Major,High,1-2 days,30,18,25,17,90,Critical
High,Major,High,3-7 days,30,18,25,13,86,Critical
High,Major,High,8-14 days,30,18,25,9,82,Critical
High,Major,High,More than 14 days,30,18,25,5,78,Urgent
High,Major,Medium,Overdue or Today,30,18,15,20,83,Critical
High,Major,Medium,1-2 days,30,18,15,17,80,Critical
High,Major,Medium,3-7 days,30,18,15,13,76,Urgent
High,Major,Medium,8-14 days,30,18,15,9,72,Urgent
High,Major,Medium,More than 14 days,30,18,15,5,68,Urgent
High,Major,Low,Overdue or Today,30,18,5,20,73,Urgent
High,Major,Low,1-2 days,30,18,5,17,70,Urgent
High,Major,Low,3-7 days,30,18,5,13,66,Urgent
High,Major,Low,8-14 days,30,18,5,9,62,Urgent
High,Major,Low,More than 14 days,30,18,5,5,58,Moderate
High,Moderate,High,Overdue or Today,30,12,25,20,87,Critical
High,Moderate,High,1-2 days,30,12,25,17,84,Critical
High,Moderate,High,3-7 days,30,12,25,13,80,Critical
